//X Y Z Point_Source_ID Scan_Angle_Rank Flightline_Edge Number_of_Returns Return_Number Time Intensity Classification
236462.63000488 548273.30999756 16.37000084 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.577538 179.000000 1.000000
236462.83001709 548273.05000305 16.62999916 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.577541 208.000000 1.000000
236463.05999756 548272.75000000 16.90999985 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.577544 168.000000 1.000000
236463.22998047 548272.48000336 16.68000031 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.577546 174.000000 1.000000
236463.38000488 548272.19999695 15.96000004 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.577549 172.000000 2.000000
236462.02001953 548273.48999786 15.81999969 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.583454 116.000000 2.000000
236462.28002930 548273.19000244 16.54000092 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.583457 203.000000 1.000000
236462.48999023 548272.91000366 16.79999924 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.583460 189.000000 1.000000
236462.69000244 548272.62000275 16.82999992 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.583463 109.000000 1.000000
236462.89001465 548272.34999847 16.87999916 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.583465 83.000000 1.000000
236463.04998779 548272.06999969 16.45000076 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.583467 152.000000 1.000000
236463.20001221 548271.80000305 15.97999954 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.583470 147.000000 2.000000
236461.88000488 548272.98999786 16.53000069 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.589376 169.000000 1.000000
236462.07000732 548272.70999908 16.39999962 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.589378 203.000000 1.000000
236462.26000977 548272.41999817 16.28000069 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.589381 175.000000 1.000000
236462.51000977 548272.13999939 17.13999939 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.589383 85.000000 1.000000
236462.61999512 548271.87999725 16.10000038 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.589386 147.000000 1.000000
236462.83001709 548271.58999634 16.28000069 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.589389 196.000000 1.000000
236461.89001465 548272.23000336 15.85999966 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.595300 194.000000 2.000000
236462.19000244 548271.94999695 17.37000084 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.595302 35.000000 1.000000
236462.09997559 548271.95999908 16.03000069 168.000000 2.000000 0.000000 2.000000 2.000000 234371016.595302 121.000000 1.000000
236462.38000488 548271.69000244 17.51000023 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.595305 94.000000 1.000000
236462.50000000 548271.41000366 16.45000076 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.595307 196.000000 1.000000
236462.71997070 548271.12000275 16.61000061 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.595310 203.000000 1.000000
236461.63000488 548272.11000061 15.84000015 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.601218 166.000000 2.000000
236461.83001709 548271.83999634 16.13999939 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.601221 191.000000 1.000000
236462.14001465 548271.55999756 17.79999924 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.601223 87.000000 1.000000
236462.23999023 548271.29000092 16.55999947 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.601226 196.000000 1.000000
236462.46002197 548270.98999786 16.77000046 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.601229 208.000000 1.000000
236462.64001465 548270.69999695 16.40999985 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.601231 176.000000 1.000000
236465.97998047 548267.45999908 32.75999832 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.601262 12.000000 1.000000
236466.17999268 548267.16999817 32.86000061 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.601265 84.000000 1.000000
236466.38000488 548266.88999939 32.95000076 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.601267 100.000000 1.000000
236466.57000732 548266.62000275 33.02999878 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.601270 120.000000 1.000000
236466.77001953 548266.33999634 33.11000061 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.601272 58.000000 1.000000
236466.96997070 548266.06999969 33.18000031 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.601275 52.000000 1.000000
236467.15002441 548265.80999756 33.25999832 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.601278 45.000000 1.000000
236467.34002686 548265.54000092 33.36000061 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.601280 53.000000 1.000000
236467.53997803 548265.26000214 33.45000076 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.601283 77.000000 1.000000
236467.75000000 548264.98000336 33.58000183 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.601285 80.000000 1.000000
236467.94000244 548264.72000122 33.66999817 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.601288 130.000000 1.000000
236468.14001465 548264.43000031 33.77000046 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.601290 89.000000 1.000000
236468.32000732 548264.16999817 33.83000183 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.601293 14.000000 1.000000
236461.54998779 548271.75000000 16.20999908 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.607139 179.000000 1.000000
236461.85998535 548271.45999908 17.87000084 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.607142 64.000000 1.000000
236461.76000977 548271.47000122 16.37000084 168.000000 2.000000 0.000000 2.000000 2.000000 234371016.607142 39.000000 1.000000
236462.05999756 548271.19999695 18.04000092 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.607144 68.000000 1.000000
236462.19000244 548270.90000153 16.86000061 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.607147 218.000000 1.000000
236462.40002441 548270.61000061 16.98999977 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.607150 203.000000 1.000000
236462.53997803 548270.33000183 16.20000076 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.607152 172.000000 1.000000
236465.14001465 548268.15000153 32.56999969 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.607173 36.000000 1.000000
236465.32000732 548267.88999939 32.63999939 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.607176 97.000000 1.000000
236465.51000977 548267.62000275 32.68000031 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.607178 62.000000 1.000000
236465.69000244 548267.36000061 32.72999954 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.607180 43.000000 1.000000
236465.90002441 548267.05999756 32.79999924 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.607183 111.000000 1.000000
