//X Y Z Point_Source_ID User_Data Scan_Angle_Rank Number_of_Returns Return_Number Time Intensity Classification
223033.17999268 536562.31999969 35.58000183 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.844062 626.000000 6.000000
223032.88999939 536562.43000031 35.52000046 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.844064 529.000000 6.000000
223032.61000061 536562.54000092 35.22999954 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.844067 303.000000 6.000000
223032.33000183 536562.65000153 35.27999878 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.844069 453.000000 6.000000
223032.03999329 536562.75999832 35.54000092 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.844072 508.000000 6.000000
223031.74000549 536562.88000107 35.65999985 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.844074 297.000000 6.000000
223031.39999390 536563.02999878 33.58000183 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.844077 73.000000 6.000000
223034.02999878 536562.31000137 32.68000031 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.850189 97.000000 6.000000
223033.72999573 536562.43000031 32.99000168 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.850192 305.000000 6.000000
223033.22999573 536562.61000061 35.36000061 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.850197 568.000000 6.000000
223032.94999695 536562.70999908 35.22999954 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.850200 557.000000 6.000000
223032.66999817 536562.81999969 35.13000107 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.850202 423.000000 6.000000
223032.38999939 536562.93999863 34.88000107 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.850205 511.000000 6.000000
223032.10000610 536563.04999924 35.38999939 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.850208 112.000000 6.000000
223031.80999756 536563.15999985 35.54000092 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.850210 497.000000 6.000000
223031.44999695 536563.31999969 33.29000092 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.850213 420.000000 6.000000
223034.42999268 536562.47999954 32.15999985 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.856323 15.000000 6.000000
223034.16000366 536562.59000015 32.52999878 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.856325 514.000000 6.000000
223033.66000366 536562.75999832 35.34000015 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.856330 574.000000 6.000000
223033.35000610 536562.88000107 35.27000046 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.856333 11.000000 6.000000
223032.77999878 536563.11000061 34.61999893 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.856338 162.000000 6.000000
223032.50999451 536563.22000122 34.65999985 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.856341 267.000000 6.000000
223032.22000122 536563.31999969 35.33000183 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.856343 287.000000 6.000000
223031.92999268 536563.43999863 35.36000061 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.856346 539.000000 6.000000
223031.57000732 536563.59000015 33.02999878 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.856349 510.000000 6.000000
223034.77999878 536562.68000031 31.70999908 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.862456 21.000000 6.000000
223034.50999451 536562.77999878 32.06999969 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.862458 402.000000 6.000000
223034.00999451 536562.95000076 35.22999954 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.862464 36.000000 6.000000
223033.72999573 536563.06000137 35.25999832 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.862466 227.000000 6.000000
223032.85000610 536563.40999985 34.41999817 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.862474 32.000000 6.000000
223032.58000183 536563.52000046 34.43000031 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.862476 27.000000 6.000000
223032.00999451 536563.72999954 35.33000183 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.862482 529.000000 6.000000
223031.63000488 536563.90000153 32.65000153 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.862484 70.000000 6.000000
223031.33000183 536564.01999664 32.47000122 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.862487 38.000000 6.000000
223036.88999939 536562.25000000 19.56999969 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.868571 13.000000 6.000000
223036.60000610 536562.36999893 19.43000031 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.868574 39.000000 6.000000
223036.30000305 536562.47999954 19.22999954 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.868576 29.000000 6.000000
223036.00000000 536562.59999847 19.19000053 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.868579 133.000000 6.000000
223035.69000244 536562.72999954 19.22999954 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.868581 56.000000 6.000000
223035.39999390 536562.84000015 19.13999939 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.868584 38.000000 6.000000
223035.08999634 536562.95999908 19.13999939 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.868587 94.000000 6.000000
223034.88000488 536562.95999908 31.63999939 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.868592 537.000000 6.000000
223034.11999512 536563.22999954 35.25999832 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.868600 691.000000 6.000000
223032.11000061 536564.01999664 35.25000000 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.868618 368.000000 6.000000
223031.41999817 536564.30999756 32.20000076 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.868623 510.000000 6.000000
223038.19000244 536562.06999969 20.10000038 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.874696 29.000000 6.000000
223037.88000488 536562.18999863 19.97999954 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.874699 33.000000 6.000000
223037.58000183 536562.31000137 19.82999992 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.874702 124.000000 6.000000
223037.27000427 536562.43000031 19.62000084 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.874704 159.000000 6.000000
223036.97999573 536562.54999924 19.54000092 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.874707 21.000000 6.000000
223036.10000610 536562.88999939 19.51000023 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.874715 40.000000 6.000000
223035.77999878 536563.02000046 19.21999931 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.874717 218.000000 6.000000
223035.50999451 536563.11999893 19.37000084 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.874720 94.000000 6.000000
223035.19000244 536563.25000000 19.27000046 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.874722 74.000000 6.000000
223035.25000000 536563.15000153 31.17000008 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.874725 508.000000 6.000000
223034.61000061 536563.47999954 19.04000092 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.874727 264.000000 6.000000
223034.33000183 536563.59000015 19.06999969 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.874730 95.000000 6.000000
223034.50999451 536563.40999985 35.16999817 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.874733 258.000000 6.000000
223034.21000671 536563.52999878 35.18000031 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.874735 13.000000 6.000000
223033.41999817 536563.93999863 19.10000038 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.874738 18.000000 6.000000
223032.21000671 536564.30999756 35.15000153 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.874754 110.000000 6.000000
223031.92999268 536564.41999817 35.20000076 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.874756 17.000000 6.000000
223031.50000000 536564.61000061 31.92000008 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.874759 356.000000 6.000000
223040.38000488 536561.52999878 21.21999931 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.880814 34.000000 6.000000
223040.08000183 536561.65000153 21.05999947 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.880817 58.000000 6.000000
223039.78999329 536561.75999832 20.92000008 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.880819 36.000000 6.000000
223039.49000549 536561.88000107 20.71999931 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.880822 23.000000 6.000000
223039.19000244 536562.00000000 20.54999924 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.880825 130.000000 6.000000
223038.89999390 536562.11000061 20.35000038 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.880827 171.000000 6.000000
223038.61000061 536562.22999954 20.25000000 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.880830 65.000000 6.000000
223038.30999756 536562.34999847 20.31999969 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.880832 33.000000 6.000000
223037.99000549 536562.47000122 20.20999908 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.880835 20.000000 6.000000
223037.38999939 536562.70999908 20.02000046 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.880840 37.000000 6.000000
223037.11999512 536562.81999969 19.93000031 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.880843 9.000000 6.000000
223036.82000732 536562.93999863 19.86000061 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.880845 18.000000 6.000000
223036.22000122 536563.16999817 19.67000008 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.880850 11.000000 6.000000
223035.91999817 536563.29000092 19.61000061 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.880853 25.000000 6.000000
223035.61999512 536563.40999985 19.35000038 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.880856 105.000000 6.000000
223035.63000488 536563.33000183 30.70999908 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.880858 522.000000 6.000000
223035.02000427 536563.63999939 19.40999985 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.880861 41.000000 6.000000
223034.74000549 536563.75000000 19.34000015 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.880863 56.000000 6.000000
223034.44000244 536563.86999893 19.29000092 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.880866 50.000000 6.000000
223034.63000488 536563.68999863 35.13000107 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.880868 502.000000 6.000000
223033.82000732 536564.11000061 19.15999985 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.880871 90.000000 6.000000
223033.53999329 536564.23000336 18.97999954 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.880874 113.000000 6.000000
223033.22000122 536564.34999847 19.00000000 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.880876 211.000000 6.000000
223032.94000244 536564.45999908 19.04000092 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.880879 300.000000 6.000000
223032.66000366 536564.56999969 19.07999992 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.880881 237.000000 6.000000
223032.36999512 536564.68000031 19.12999916 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.880884 243.000000 6.000000
223032.05999756 536564.80000305 19.12999916 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.880887 203.000000 6.000000
223031.74000549 536564.93000031 19.12999916 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.880889 161.000000 6.000000
223032.05000305 536564.69999695 35.20000076 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.880892 309.000000 6.000000
223031.61000061 536564.90000153 31.54999924 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.880894 25.000000 6.000000
223031.33000183 536565.01000214 31.37999916 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.880897 159.000000 6.000000
223030.58000183 536565.37999725 19.18000031 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.880899 95.000000 6.000000
223042.55999756 536560.97000122 22.59000015 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.886932 14.000000 6.000000
223042.24000549 536561.09999847 22.19000053 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.886935 109.000000 6.000000
223041.96000671 536561.20999908 22.01000023 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.886937 132.000000 6.000000
223041.63999939 536561.34000015 21.84000015 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.886940 142.000000 6.000000
223041.36999512 536561.45000076 21.69000053 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.886942 136.000000 6.000000
223041.07000732 536561.56000137 21.52000046 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.886945 91.000000 6.000000
223040.78999329 536561.66999817 21.43000031 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.886947 65.000000 6.000000
223040.47000122 536561.79999924 21.30999947 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.886950 26.000000 6.000000
223040.16999817 536561.91999817 21.22999954 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.886953 19.000000 6.000000
223039.88000488 536562.02999878 20.92000008 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.886955 51.000000 6.000000
223039.57000732 536562.15999985 20.60000038 162.000000 2.000000 -1.000000 1.000000 1.000000 143024621.886958 159.000000 6.000000
223039.27000427 536562.27999878 20.45000076 162.000000 2.000000 -1.000000 1.000000 1.000000 143024621.886960 215.000000 6.000000
223039.00000000 536562.38999939 20.37000084 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.886963 201.000000 6.000000
223038.69999695 536562.50000000 20.25000000 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.886965 159.000000 6.000000
223038.39999390 536562.61999893 20.22999954 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.886968 118.000000 6.000000
223038.07000732 536562.75000000 20.05999947 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.886971 168.000000 6.000000
223037.80000305 536562.86000061 19.97999954 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.886973 153.000000 6.000000
223037.47999573 536562.97999954 19.89999962 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.886976 150.000000 6.000000
223037.19999695 536563.09000015 19.90999985 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.886979 90.000000 6.000000
223036.89999390 536563.20999908 19.73999977 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.886981 113.000000 6.000000
223036.61999512 536563.31999969 19.68000031 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.886984 121.000000 6.000000
223036.30999756 536563.43999863 19.63999939 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.886986 58.000000 6.000000
223036.00000000 536563.56000137 19.56999969 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.886989 74.000000 6.000000
223036.00000000 536563.50000000 30.23999977 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.886991 357.000000 6.000000
223035.39999390 536563.79999924 19.45999908 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.886994 64.000000 6.000000
223035.11000061 536563.90999985 19.59000015 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.886997 101.000000 6.000000
223034.83000183 536564.01999664 19.52000046 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.886999 121.000000 6.000000
223035.00999451 536563.84999847 35.09999847 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.887002 420.000000 6.000000
223034.22999573 536564.26000214 19.26000023 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.887004 12.000000 6.000000
